Date,Max:Overall Application Performance|digital_vendomatic|Average Response Time (ms),Max:Overall Application Performance|digital_vendomatic|Calls per Minute,Max:Application Infrastructure Performance|digital_vendomatic|Hardware Resources|CPU|%Busy,Max:Application Infrastructure Performance|digital_vendomatic|Hardware Resources|CPU|%Stolen,Max:Application Infrastructure Performance|digital_vendomatic|Hardware Resources|Memory|Free %,Max:Application Infrastructure Performance|digital_vendomatic|Hardware Resources|Memory|Used %,Max:Application Infrastructure Performance|digital_vendomatic|Hardware Resources|Network|Incoming packets/sec,Max:Application Infrastructure Performance|digital_vendomatic|Hardware Resources|Network|Outgoing packets/sec,Max:Application Infrastructure Performance|digital_vendomatic|Hardware Resources|Network|Incoming KB/sec,Max:Application Infrastructure Performance|digital_vendomatic|Hardware Resources|Network|Outgoing KB/sec,Max:Application Infrastructure Performance|digital_vendomatic|Hardware Resources|Disks|Reads/sec,Max:Application Infrastructure Performance|digital_vendomatic|Hardware Resources|Disks|Writes/sec,Max:Application Infrastructure Performance|digital_vendomatic|Hardware Resources|Disks|KB read/sec,Max:Application Infrastructure Performance|digital_vendomatic|Hardware Resources|Disks|KB written/sec
11/06/2019 10:01:00 PM,20,10,27,0,92,90,37,34,16,21,0,3,0,15
11/06/2019 10:02:00 PM,26,12,27,0,92,90,41,43,11,13,0,6,0,24
11/06/2019 10:03:00 PM,34,17,27,0,92,90,46,43,22,13,0,4,0,17
11/06/2019 10:04:00 PM,34,17,27,0,92,90,36,38,6,11,0,5,0,22
11/06/2019 10:05:00 PM,38,17,27,0,93,90,28,29,9,22,0,4,0,17
11/06/2019 10:06:00 PM,49,17,27,0,93,90,59,57,23,14,0,3,0,12
11/06/2019 10:07:00 PM,34,20,27,0,93,90,15,17,6,6,0,4,0,15
11/06/2019 10:08:00 PM,36,18,27,0,93,90,40,42,9,12,0,4,0,16
11/06/2019 10:09:00 PM,27,14,27,0,93,90,21,20,8,23,0,2,0,8
11/06/2019 10:10:00 PM,26,9,27,0,93,90,35,33,15,9,0,3,0,12
11/06/2019 10:11:00 PM,17,10,27,0,92,90,37,39,8,12,0,3,0,13
11/06/2019 10:12:00 PM,30,11,26,0,92,90,26,27,7,8,0,3,0,15
11/06/2019 10:13:00 PM,19,11,27,0,92,90,17,19,6,23,0,1,0,5
11/06/2019 10:14:00 PM,21,9,28,0,92,90,26,26,9,8,0,3,0,14
11/06/2019 10:15:00 PM,17,8,14,0,92,90,9,10,2,5,0,2,0,11
11/06/2019 10:16:00 PM,19,9,22,0,92,90,38,41,15,11,0,3,0,14
11/06/2019 10:17:00 PM,18,10,26,0,92,90,16,17,6,21,0,2,0,12
11/06/2019 10:18:00 PM,18,11,27,0,92,90,32,31,7,10,0,5,0,20
11/06/2019 10:19:00 PM,16,8,27,0,92,90,25,26,7,7,0,11,0,47
11/06/2019 10:20:00 PM,16,8,27,0,92,90,39,34,15,10,0,2,0,10
11/06/2019 10:21:00 PM,18,10,69,0,92,96,45,44,17,11,0,17,0,69
11/06/2019 10:22:00 PM,22,11,65,0,92,96,39,42,8,10,0,41,0,165
